NAME,ADDRESS,MAIL
ARS Traffic & Transport Technology India Private Limited,"131-135, First Floor, Nila Building Technopark Campus Thiruvananthapuram",hrtvm@arstraffic.com
ARTEMAS TECHNOLOGIES PRIVATE LIMITED,"TOP FLOOR , GAYATHRI BUILDING, TECHNOAPRK PHASE I, TRIVANDRUM",info@artemasdigital.com
Arvension Technologies LLP,"WS 6,4th floor Gayatri Building",arvension@gmail.com
ASSURETECH BUSINESS SOLUTIONS PRIVATE LIMITED,"L-10, THEJASWINI, TECHNOPARK, TRIVANDRUM",info@assuretech.in
ALLIANZ TECHNOLOGY SE,"3rd Floor, Leela Infopark, Technopark Campus, Trivandrum",allianzindiaexternal@allianz.com
Alokin Software Pvt. Ltd,"SBC 2203, Yamuna Building, SEZ Campus, Technopark Phase III, Kulathoor P.O, Thiruvananthapuram",hello@alokin.in
Alzone Software Pvt Ltd,"ACE 04, 3rd Floor, CDAC Building, Technopark Campus, Kerala, India",careers@alzonesoftware.com
Amedisoft Technologies Pvt Ltd,"TBIC-12, Level -2 Thejaswini Building Technopark Campus Thiruvananthapuram Kerala 695581 India",tvm@amedisoft.com
Amstor Consultancy Services Private Limited,"Amstor House , Technopark Campus Trivandrum, Kerala",contact@amstorglobal.com
"Amstor Information Technology (INDIA) Pvt., Ltd.","Amstor House Technopark, Trivandrum",info@amstorglobal.com
aTeamIndia,"G3B, Thejaswini Building , Technopark, Trivandrum",director@ateamindia.com
ATEAM SOFT SOLUTIONS PVT LTD,"4th Floor, Amstor Building, Technopark, Kazhakoottam, Trivandrum",hr@ateamsoftsolutions.com
Aten India Software Solutions Pvt. Ltd.,"Room No. 14, Nila Building, 4th Floor, Technopark",sunita@ateninc.com
Attinad Software Private Limited,"Unit 335, 1st Floor & 3rd Floor, Nila Building",hr@attinadsoftware.com
AUSHIM SOFT PVT LTD,"LEELA INFOPARK, PLOT NO.2, NEAR NILA TECHNOPARK CAMPUS, KARIYAVATTOM P.O, KAZHAKUTTOM, TRIVANDRUM KERALA",jayakumar@leelalaceholdings.com
Autram Infotech Pvt Ltd.,"#2303, 3rd Floor, Yamuna (SEZ), Technopark Phase III, Thiruvananthapuram",info@autram.com
AWDAR SOFTWARE SOLUTIONS LLP,"SBC - 02, Ashtamudi Tower, Technopark Campus, Kollam",info@awdar-solutions.com
Axen Software PVT LTD,"Module 18, -2 Floor, Thejaswini Building,Technopark Campus,Thiruvananthapuram",buyfie@axensoft.com
Azinova Technologies Pvt Ltd,"C-14b, Basement Floor 2, Thejaswini, Technopark, Trivandrum",info@azinovatechnologies.com
Beagle Cyber Innovations Private Limited,"ACE, C-DAC, 4th Floor, Technopark Campus Trivandrum, Kerala, India",info@beaglesecurity.com
Benefitalign Technologies Pvt Ltd,"C-17, Thejaswini building, Technopark Campus, Trivandrum",hrishikesh.shashi@speridian.com
Bilagos Softwares Private Limited,"4th Floor, M Squared Annex 1 Building, Technopark Campus, Kazhakkoottam, Trivandrum, Kerala",hr@bilagos.in
Bitryt Solutions Private Limited,"G3B, Thejaswini Technopark Campus, Thiruvananthapuram",info@bitryt.com
Blue Ripples Technologies Private Limited,"Module No 2806, Yamuna Building, SEZ Campus, Technopark Phase III, Kazhakootam, Kulathoor, Thiruvananthapuram, Kerala, India",info@blueripples.com
bMuse India Technologies Pvt Ltd,"15A, 15th Floor, Leela Infopark , Technopark, Trivandrum",abhi@bmuse.com
BOXOP SOLUTIONS INDIA PRIVATE LIMITED,"G3B, TEJASWINI,TECHNOPARK CAMPUS",boxop@boxop.in
Brandfell Technologies Private Limited,"Module No.10, 4th Floor, Gayatri Building, Technopark, Trivandrum",contact@brandfell.com
BST Software Private Limited,"SBC 16, Floor - 2 Thejaswini, Technopark",info@bstsoftwarelabs.com
BuildNext Construction Solutions Private Limited,"Kerala Startup Mission, Thejaswini, Technopark, Trivandrum",info@buildnext.in
Byjus (Think and Learn Pvt Ltd),"Byjus: Unit No. 2C, 2nd Floor, Carnival Techno Park, Technopark Phase I Campus Kerala, Trivandrum",rakesh.nair@byjus.com
ByteWave Digital Consultants Pvt Ltd.,"T-7, Thejaswini 7th Floor, Technopark, Trivandrum",connect@bytewavedigital.com
Calmove Technologies Pvt Ltd,"First Floor,Padmanabham Building",contact@calmove.com
CANKADO INDIA PRIVATE LIMITED,"GROUND FLOOR, AMSTOR HOUSE, TECHNOPARK CAMPUS, TRIVANDRUM",INFO@CANKADO.IN
Capresults Digital Communications,"C1 Module, Gayathri Building, Technopark, Trivandrum",deepak@capresults.net
Carmic Tech Solutions Private Limited,"Kerala Startup Mission, G3B, Thejaswini, Technopark Campus, Thiruvananthapuram",abhimanue@carmictech.com
Carnival Technopark Private Limited,"Plot No - 2, Ground Floor, Opposite Nila Building, Technopark Campus, Karyavattom, Trivandrum.",unnikrishnan@carnivalinfopark.com
Castel Technologies Pvt. Ltd.,"SBC-27, C-Level (-2), Thejaswini Building, Technopark, Karyavattom PO, Trivandrum - 695581 Kerala",www.casteltech.com
CASTLE MEDICAL INDIA PVT LTD,5ht FLOOR M -SQUARED BUILDING,info@castlebilling.com
Catalyca Private Limited,"Kerala Startup Mission, Minus 2, Thejaswini, Technopark Campus, Trivandrum",hello@catalyca.com
CEIR Global Pvt Ltd,"SBC, Module No.04, Ground Floor Kabani IT Building, Technopark Phase 4 (Technocity) Thiruvananthapuram, Kerala, India",contact@ceirglobal.com
Cell Technologies Pvt. Ltd.,"C-15, Thejaswini Technopark, Trivandrum- 695581",support@cellplc.com
CENTREE TECHNOLOGIES PVT LTD,"2nd Floor, Ashtamudi Tower, SEZ IT Building Technopark, Kundara, Kollam",hello@centree.in
Centre for Development of Advanced Computing [CDAC],"CDAC, Under MeitY, Govt. of India, Technopark Campus, Kariyavattam. P.O. Trivandrum",krct@cdac.in
CHORDIFY TECH INDIA PRIVATE LIMITED,"5TH FLOOR, AMSTOR BUILDING TECHNOPARK TRIVANDRUM",admin@chordify.com
Ciber Digita Consultants LLP,"Module No.A-21,Ground Floor, Gayatri Building,Technopark, Trivandrum,Kerala",contact@cdcllp.com
Cinch Business Solutions Pvt. Ltd.,"T6, Thejaswini 7th Floor, Technopark, Trivandrum.",info@cinchplc.com
Cleareye.ai Private Limited (Formerly known as AIWare Technology Systems Pvt Ltd.),"9A, Carnival Technopark, Phase I Campus Technopark Thiruvananthapuram",india@cleareye.ai
Clinipace Clinical Research Private Limited,"B16,Gayatri, Technopark, Trivandrum",info@caidya.com
Cloudplus Information Technologies Pvt Ltd,"SBC 1, II Floor Ashtamudi Tower, Technopark Kollam India",contact@cloudplusinfotech.com
CloudQ IT Services Private Limited,"2nd Floor Nila Building, Phase-1, Technopark, Kazhakkoottam, Thiruvananthapuram, Kerala",cto@cloudq.net
CODESVERA INFOTECH PVT. LTD.,"GROUND FLOOR, AMSTOR ANNEX BUILDING, TECHNOPARK, TRIVANDRUM",info@codesvera.com
Cognosin Pvt Ltd,"Kerala Startup Mission G3B Thejaswini, Technopark Trivandrum, Kerala",info@cognosin.com
COLLABORATIVE LEARNING LABS PRIVATE LIMITED,"C15, 3rd Floor, GAYATRI Building, Technopark,Phase-1, Thiruvananthapuram",info@collabll.com
Confianz Information Technologies Pvt Ltd,"4th Floor, Padmanabham Building, Technopark campus",sales@confianzit.biz
Conscience Business Solutions Pvt. Ltd.,"Module 2501, 5th Floor, Yamuna, Technopark Phase 3, Trivandrum, Kerala",info@conscience.co.in
Crayo Tech Business Solutions Pvt Ltd.,"Kerala Startup Mission, G3B, Thejaswini, Technopark Campus, Kariyavattom, Trivandrum, Kerala",info@crayotech.com
Creace Technologies Pvt Ltd,"4th Floor, Nila Building, Technopark, Trivandrum, Kerala, India",hr@creace.in
CRISTEL INNOVATIONS PVT. LTD.,"SBC-21, Thejaswini Building, Floor (-2), Technopark",info@cristelinnovations.com
CYBMIRROR INNOVATIONS LLP,"SBC-9, First Floor, Ashtamudi Building, Technopark, Kollam",info@cybmirror.com
Daiviksoft Technologies Private Limited,"SBC-2, Ground Floor, Kabani IT Building, Technocity, Technopark Phase 4, Pallipuram, Thiruvananthapuram",contact@daiviktech.com
DCUBE Ai Systems & Services Private Limited,"# 2702, 7th Floor, Yamuna Building, Phase III, Technopark, Thiruvananthapuram.",info@dcubeai.com
De'Antz Technological Solutions Pvt Ltd,"Start Up Mission, Thejaswini Building, Technopark Campus, Trivandrum",deantz2018@gmail.com
Deccan iServices private limited,"7B, Carnival Infopark, Technopark Campus, Trivandrum",jmohan@deccaniservices.in
DeviceDriven (India) Pvt Ltd,"Padmanabha, Technopark Campus, Trivandrum",info@devicedriven.com
Dexlock Technologies LLP,"3RD FLOOR, M SQUARED BUILDING, TECHNOPARK CAMPUS, KARIYAVATTOM, TRIVANDRUM, KERALA",info@dexlock.com
DIAGNAL TECHNOLOGIES PRIVATE LIMITED,"2206, Yamuna Building, Technopark Phase III, Trivandrum",contact@diagnal.com
Diginest Solutions Private Limited,"Nila, Ground Floor, Module No 011, Phase 1 Campus, Technopark",info@diginestsolutions.com
DIGITS LAB SOLUTIONS PRIVATE LIMITED,"SBC - 4, -2nd FLOOR, THEJASWINI BUILDING, TECHNOPARK, KARIAVATTOM P.O., THIRUVANANTHAPURAM",contact@digitslab.com
Dimensions Cybertech India Pvt. Ltd,"112, Nila, Technopark Campus, Trivandrum",info@dimensionsgroup.com
DIV10X BUSINESS SOLUTION PVT LTD,"MODULE 14, TOP FLOOR, GAYATHRI ,PHASE -1,TECHNOPARK,TRIVANDRUM",info@div10x.com
DOCKING STATION TECHNOLOGIES PVT. LTD.,"3rd floor, Gayatri, Technopark Campus, Thiruvananthapuram",info@dockingstation.co.in
Doubtbox Edutainment Pvt Ltd,"C-15, Thejaswini, Technopark, Thiruvananthapuram",hr@doubtbox.com
DP Industrial design & services (I) Pvt Ltd.,"Module: 2311, Yamuna Tower, Technopark Phase-III, Trivandrum",info@dpindustrial.design
DSI Technologies Private Limited,"B20-21, Gayatri building, Technopark Campus Kariavattom PO Trivandrum",dsitech@dsitechnologies.co.in
ECOWHITE ARCHITECTURAL ENGINEERING & TECHNOLOGY SERVICES PVT LTD,"431-432,NILA ,TECHNOPARK",sramesh@ecowhite.co.in
EDGAADI PRIVATE LIMITED,"KERALA STARTUP MISSION, G3B, THEJASWINI BUILDING, TECHNOPARK CAMPUS, TRIVANDRUM",adisankar@edgaadi.com
Edwiza Solutions Pvt. Ltd,"3rd Floor, CDAC Building, Technopark",info@edwiza.com
Electronics Technology Parks Kerala (Technopark),"Park Centre, Technopark Campus, Trivandrum",www.technopark.org
Elementz Engineers Guild Pvt Ltd,"SBC Cubicle No. 3 (-2 floor), Thejaswini Building, Technopark Campus, Thiruvananthapuram",hr@elementzonline.com
ELEMENTZ IT SOLUTIONS PRIVATE LIMITED,"Module No.7(B), 4th Floor, Gayatri Building, Technopark Phase I Campus",biz@elementzit.com
Elk Store,"KSUM, Ground Floor, Thejaswini",career@myelkstore.com
Elsys Intelligent Devices Pvt Ltd,"Elsys Intelligent Devices Pvt Ltd, Module-13, 4th floor,Nila Building Technopark.",hr@elsyslabs.com
Embedded Research & Innovation Software Labs Pvt Ltd,"F6, G3B, Tejaswini, Kerala Start Up Mission, Technopark Campus, Trivandrum- 695581, Kerala, India.",info@erislabs.com
Embright Infotech Pvt Ltd.,"KSUM, Thejaswini Building, Technopark Campus, Thiruvananthapuram",mail@embrightinfotech.com
Emin Soft Technologies Private Limited,"Amstor Building, Technopark Phase-1, Trivandrum",contact@eminsoftech.com
Enffie Technologies Pvt Ltd,"Module No.5, Basement Floor, Park Centre Building, Technopark, Thiruvananthapuram",mail@enffie.com
Enfin Technologies India Pvt. Ltd.,"C 24, -2 Floor, Thejaswini, Technopark Campus, Trivandrum, Kerala.",info@enfintechnologies.com
Entiresoft Technologies Pvt Ltd,"Entiresoft Technologies Pvt Ltd, KSM, D4, G3B, Thejaswini Building, Technopark Campus, Trivandrum, Kerala 695581",info@entiresofts.com
Entomo Technologies India Private Limited,"First Floor, Amstor Building, Technopark Campus, Kazhakoottam, Thiruvananthapuram",skp@entomo.com
Entregar Solutions Pvt limited,"Ground Floor ,Ashtamudi Tower, SEZ IT Building ,Technopark Campus, Kundara ,Kollam",info@entregarsolutions.com
Envestnet Asset Management India Private Limited,First Floor Bhavani Technopark Campus,director@trv.envestnet.com
Ergonomics Communication and Information Technologies (P) Ltd,"Module : 2803, Yamuna, Phasse III Campus, Technopark.",info@ergonomicscit.com
ESC UTILITY SERVICES PVT. LTD.,"SBC 2310, 3rd Floor, Yamuna Tower, Technopark phase III Campus, Trivandrum",hr@esc-ind.com
eSeller Technologies Pvt.Ltd,"2nd floor Amstor Annex building Amstor House, Technopark Campus, Karyavattom, Trivandrum.",info@esellertechnologies.com
ESTIARA SOFTECH PVT. LTD.,"SBC-2, Iind Floor, Ashtamudi Towers, Technopark, Kollam",info@estiaratech.com
Estrrado Technologies,"ACE 07,3rd Floor, CDAC Building, Technopark Campus, Trivandrum",hr@estrrado.com
E TEAM INFORMATICA INDIA PRIVATE LIMITED,"Ground Floor, Periyar Building, Technopark, Trivandrum",info@eteamindia.com
Eurosia BIM Services Pvt Ltd.,"SBC 2201, 2nd floor, Tower 2, Yamuna Building, SEZ campus, Technopark Phase III, Attinkuzhi, Trivandrum.",hr-india@eurosia.eu
EVALOGICAL PRIVATE LIMITED,"SBC-5,1st FLOOR, ASHTAMUDI TOWER, TECHNOPARK, KUNDRA, KOLLAM",info@evalogical.com
EXORBITANT SYSTEM SOLUTIONS INDIA PVT LTD,"Module 10,SBC, -2 Floor, Thejaswini Building, Technopark",info@exorbits.com
Experion Technologies (I) Pvt Ltd,"407, 4th Floor, Thejaswini, Technopark Campus, Thiruvananthapuram, Kerala, India",info@experionglobal.com
EXPONENTIAL DIGITAL SOLUTIONS PVT. LTD.,"LEVEL -2, STARTUP MISSION, THEJASWINI BUILDING",INFO@10XDS.COM
F12 Technologies (P) Ltd.,"Basement Floor, Periyar Building Technopark Campus Trivandrum",info@f12technologies.com
Faith InfoTech India P Ltd,"ABE2- Thejaswini Extension Techopark Campus, Thiruvananthapuram",training@faithinfotech.in
Fakeeh Technologies Pvt.Ltd,"1ST FLOOR, M SQUARED BUILDING, TECHNOPARK CAMPUS, KARIYAVATTOM, TRIVANDRUM, KERALA",careers@fakeeh.tech
FAYA INNOVATIONS,"L-13,-1 Floor,Thejaswini Building,Technopark Campus Phase-1,Kariyavattom PO, Kazhakuttom,Trivandrum,Kerala",hr.india@fayausa.com
Feathersoft Info Solutions Pvt. Ltd.,"SBC 22, 2 floor, Thejaswini Building, Technopark Phase I Campus Trivandrum",careers@feathersoft.com
FieldNXT Service Solutions Pvt. Ltd.,"TBIC#12, -2, KSUM, ThejaswiniBuildings",career@fieldnxt.com
Finastra (D+H Solutions India Private Limited),"Sixth Floor, Plot 2, Leela Infopark, Technopark, Thiruvananthapuram, Kerala, India",Trivandrum.Administration@finastra.com
Fingent Technology Solutions Private Limited,"SBC No : 2309, Yamuna, Technopark Phase III",info@fingent.com
FISCHER SYSTEMS INDIA PRIVATE LIMITED,"224, NILA, TECHNOPARK, KARIAVATTOM, TRIVANDRUM, KERALA, INDIA",Fischer.India@fischeridentity.com
Flytxt Mobile Solutions Pvt. Ltd.,"7th Floor, Leela Infopark Technopark Trivandrum",info@flytxt.com
FOCAL3 SOFTWARE PRIVATE LIMITED,"2nd Floor, Carnival Technopark, Technopark Campus, Karyavattom.PO, Trivanrum, Kerala, India.",office@focal3.com
FoundingMinds Software Pvt Ltd,"L-16, Lower Ground Floor Thejaswini,Technopark Campus Trivandrum",info@foundingminds.com
FOURSPOTS INTERACTIVE SOLUTIONS PRIVATE LIMITED,"4th Floor, Amstor House, Technopark",ranjan@4spots.com
Foxdale Pvt Ltd.,"Module C, 6 th Floor, Bhavani",support@foxdale.in
FRESH MIND IDEAS PVT. LTD,"FRESH MIND IDEAS PVT. LTD, G3B, Thejaswini,, Technopark Campus, Thiruvananthapuram, Kerala",inbox@freshmindideas.com
FutureBlox Technologies Pvt Ltd,"Ground Floor, Carnival Technopark Building, Technopark Campus, Trivandrum",info@futureblox.in
Fynamics Business Solutions Pvt Ltd,"G1, Ground floor, KSUM, Thejawsini Building Technopark Campus",info@finline.in
GAUDE BUSINESS SOLUTIONS PVT LTD,"Ground Floor, Thejaswini Buliding, Technopark , Trivandrum, Kerala, India",ceo@gaudesolutions.com
G D INNOVATIVE SOLUTIONS PVT LTD,"C-13, THEJASWINI BUILDING TECHNOPARK CAMPUS TRIVANDRUM",info@gdinnovativesolutions.com
GEMINI SOFTWARE SOLUTIONS PVT. LTD.,"414 - 415, NILA, TECHNOPARK, TRIVANDRUM",gemini@geminisoftware.com
Genpro Research Private Limited,"II Floor, Nila Building, Technopark Campus, Trivandrum, Kerala",hr@genproresearch.com
GENROBOTIC INNOVATIONS PRIVATE LIMITED,"Thejaswini Buliding Technopark , Trivandrum, Kerala, India",career@genrobotics.org
Globcom Solutions Pvt Ltd.,"Module 2502, 5th floor, Yamuna Building Technopark Phase -3, Thiruvananthapuram",info@globcomsolution.com
Good Methods Software Solutions Pvt.Ltd.,"6th, Floor, Yamuna Building, Phase III ,Technopark, Trivandrum",info@carestack.com
Green Orchid Software Solutions Pvt Ltd,"Module C14, -2 Floor, Tejaswini, Technopark, Trivandrum, Kerala, India.",info@greenorchidplc.com
Grid Engineering Services,"2nd Floor, B19, Gayatri Building, Technopark Campus, Trivandrum Kerala",info@grdeng.com
Group of Technology Companies (GTECH),"Ground Floor, Nila Building, Technopark Phase 1",vishnu.nair@gtechindia.org
Guidehouse India Private Limited,"Third Floor, Bhavani building, Phase 1 Campus Technopark, Trivandrum",mahendra.rawat@guidehouse.com
Hepsoft Technologies Pvt Ltd,"4th Floor, Nila Building, Technopark Campus, Karyavattom",business@hepsoft.com
Hiworth Solutions (P)Ltd,"C-23,Thejaswini Building,Technopark,Trivandrum.",info@hiworthsolutions.com
HODO MEDICAL INFORMATIC SOLUTIONS PVT. LTD,"Module No- L-15, -1 Floor, Thejaswini Building, Technopark Campus, Trivandrum",hodo@hodo.in
HOSTDIME DATA CENTRE SERVICES PRIVATE LIMITED,"AMSTOR HOUSE ANNEXE, TECHNOPARK CAMPUS THIRUVANANTHAPURAM",info@hostdime.in
HUG DIGITAL Pvt. Ltd,"SBC 13, Level (-2), Tejaswini, Technopark, Trivandrum",tvm@hugdigital.com
HYZ VENTURES INTL PRIVATE LIMITED,"GE, GROUND FLOOR, PADMANABHAM, TECHNOPARK, Karyavattom P O, TVPM",info@hyzventures.com
iANTZ IT SOLUTIONS PVT. LTD,"3rd floor , M-Squared Building, Technopark Campus",info@iantz.in
IBIL Solutions Pvt Ltd,"Third Floor, Gayatri Building Technopark Phase-I Campus, Trivandrum",info@ibilglobal.com
iBoson Innovations Private Limited,"TBC 13, -2 Floor, KSUM, Thejaswini, Tecchnopark Campus, Kazhakootam",info@ibosoninnov.com
ICON Clinical Research India Pvt. Ltd.,"Unit No. 11 A & B, Leela Infopark, Technopark Campus, Kariyavattom P.O. Trivandrum",infotvm@iconplc.com
iCore Pioneer Business Solution Pvt Ltd,"T-TBI A(10), Ground Floor, Thejaswini Building, Technopark Campus",info@icorepioneer.com
ICT Academy of Kerala,"MODULE NO. G 1, Ground Floor, Thejaswini Building, Technopark. Thiruvananthapuram",info@ictkerala.org
iDynamics Ltd,"Level-2, C-2, Thejaswini, Technopark Campus",nagarajan@idynamics.com
IGNOSI ENTERPRISES,"Ground Floor, Tejaswini Building, Technopark, Trivandrum",info@ignosi.in
IIC Web Solutions Pvt Ltd.,"4th Floor, Nila Building , Technopark",touch@iicwebsolutions.com
ILE ILEARNINGENGINES INDIA PVT LTD,"2nd FLOOR, M SQUARED BUILDING, TECHNOPARK CAMPUS, KARIYAVATTOM, TRIVANDRUM, KERALA",hr_ops@ilearningengines.com
InApp Information Technologies India Pvt Ltd,"209 S, 9th Floor, Yamuna, Technopark Phase 3.",hr@inapp.com
InApp Information Technologies India Pvt. Ltd.,121- 124 Nila Technopark Campus Trivandrum,hr@inapp.com
Incredible Visibility Solutions Private Limited,"4th Floor, Ashtamudi Tower, Technopark, Kundara, Kollam, Kerala",hello@incrediblevisibility.com
Indian Institute of Information Technology and Management - Kerala (IIITM-K),IIITM-K Campus Technopark Karyavattom PO Thiruvananthapuram,info@iiitmk.ac.in
INDUSTRON NANOTECHNOLOGY PVT LTD,"401, 4TH FLOOR, THEJASWINI BUILDING, TECHNOPARK, TRIVANDRUM",shafee@industronnano.com
Infoblox Technical Support and Software Development Pvt Ltd.,"109-N, 9th Floor, Ganga Building, Technopark Phase-III, Trivandrum",indiaoffice@infoblox.com
Infonetonix Private Limited,"Plot No.5, Amstor House, Technopark Campus, Karyavattom P O, Trivandrum",info@infonetonix.co.in
Infospica Consultancy Services,"2301, Third Floor, Yamuna, Phase-III, Technopark, Trivandrum",info@infospica.com
Infynith Technomission Private Limited,"G3B, KSUM, Tejaswini",info@infynith.com
Innoneur IT Ventures Private Limited,"T-TBI, -2 Floor, TBIC-18, Thejaswini",hi@innoneur.com
InnoVal Digital Solutions Private Limited (IVL),"Fifth Floor, Thejaswini, Technopark, Trivandrum",info@ivldsp.com
Innovatise Technology Private Limited,"G3B, Thejaswini, Technopark Campus",rajesh@innovatise.com
Innure Infotech Pvt.Ltd,"Module No-14, 4th Floor,Nila Building, Technopark Campus,Trivandrum",info@innure.com
INOMETRICS TECHNOLOGY SYSTEMS PVT LTD,"NILA, 4TH FLOOR, TECHNOPARK, TRIVANDRUM",chindukrishna@inometrics.com
INOVACE DIGITAL MEDIA LLP,"Inovace Digital Media Ltd 4th Floor, CDAC Building, Technopark Phase 1, Kazhakoottam. Trivandrum, Kerala",hr@inovace.in
Inspirisys Solutions Limited,"311,Nila,Technopark",infoisl@inspirisys.com
Integral Business & Investment Solutions Pvt Ltd,"Module No. GF-NS-B, Ground Floor, Nila Building, Technopark, Trivandrum. Kerala",jijimon.rv@ibisequities.com
Integrated Order Automated Solutions Pvt.Ltd.,"Kerala Startup Mission, G3B, Thejaswini, Technopark Rd, Technopark Campus, Karyavattom, Thiruvananthapuram",info@ioas.in
Intella Ecom IT Solution Pvt Ltd,"1c,First floor,Padmanabham,Technopark",contact@intellaecomits.com
Intellizenz Innovation Breakthroughz Pvt. Ltd.,"Amstor, 1st Floor, Technopark, Thiruvananthapuram, Kerala",admin@intellizenz.co.in
Interland Technology Services Pvt.Ltd.,"8th floor. Yamuna. Techno Park Phase III, TRIVANDRUM, KERALA STATE 695581",INFO@INTERLANDTECH.COM
Intriad Innovations Pvt Ltd,"KSUM, Groundfloor, Tejaswini Building, Technopark, Thiruvananthapuram",operations@intriadinnovations.com
